,reaction_name,reaction_string,WT-LN-G-R1 trans,WT-LN-G-R2 trans,WT-LN-G-R3 trans,EVOL33-LN-G-R1 trans,EVOL33-LN-G-R2 trans,EVOL33-LN-G-R3 trans,EVOL40-LN-G-R1 trans,EVOL40-LN-G-R2 trans,EVOL40-LN-G-R3 trans,WT-P-R1 trans,WT-P-R2 trans,WT-P-R3 trans,PVHG-P-R1 trans,PVHG-P-R2 trans,PVHG-P-R3 trans
PDHcr,Pyruvate dehydrogenase (dihydrolipoamide dehydrogenase) reversible,dhlam_c + nad_c --> h_c + lpam_c + nadh_c,766.40267,734.83638,724.24179,892.98441,955.37483,960.8811800000001,901.0695000000001,979.01373,868.99771,914.61362,1246.22151,1743.39452,5957.4791,3445.1939300000004,3449.00675
PDIMAS,PDIMAS,2.0 h_c + phthiocerol_c + 2.0 tamocta_c --> 2.0 h2o_c + pdima_c,1.3460299999999998,1.30715,1.21897,0.95711,1.98348,0.86472,1.74754,1.7571599999999998,1.29508,1.14283,0.54929,0.7357600000000001,1.14598,1.43141,1.8462
PDIMAT,PDIMAT,pdima_c --> pdima_e,,,,,,,,,,,,,,,
PDX5POi,Pyridoxine 5'-phosphate oxidase,o2_c + pdx5p_c --> h2o2_c + pydx5p_c,14.101239999999999,13.725079999999998,10.274170000000002,13.2932,14.10473,14.527359999999998,15.18555,17.01668,13.49608,48.87785,33.286770000000004,29.9211,203.65770999999998,231.78581000000003,252.92920999999998
PDX5PS,Pyridoxine 5'-phosphate synthase,dxyl5p_c + nad_c + phthr_c --> co2_c + 2.0 h2o_c + h_c + nadh_c + pdx5p_c + pi_c,18.33162,21.56798,19.851779999999998,17.33434,16.235129999999998,16.08386,17.113870000000002,18.58887,19.49434,35.95511,36.14306,43.04224,35.36179,28.525909999999996,35.1547
PDXPP,Pyridoxine 5-phosphate phosphatase,h2o_c + pdx5p_c --> pi_c + pydxn_c,12.114249999999998,12.63579,12.01556,12.867830000000001,14.10472,14.527359999999998,13.79957,12.94748,13.15528,45.888909999999996,34.16562999999999,31.147369999999995,78.58176,114.00140000000002,107.69492
PE120abcpp,"Phosphatidylethanolamine transport via ABC system (n-C12:0, periplasm)",atp_c + h2o_c + pe120_c --> adp_c + h_c + pe120_p + pi_c,188.37981000000002,171.89028000000002,198.34368999999998,197.90925,174.03176000000002,189.37453,186.68583,175.71567,176.74414,424.51644,338.47042,257.88554,254.40842,265.52614,279.69909
PE140abcpp,"Phosphatidylethanolamine transport via ABC system (n-C14:0, periplasm)",atp_c + h2o_c + pe140_c --> adp_c + h_c + pe140_p + pi_c,188.37981000000002,171.89028000000002,198.34368999999998,197.90925,174.03176000000002,189.37453,186.68583,175.71567,176.74414,424.51644,338.47042,257.88554,254.40842,265.52614,279.69909
PE141abcpp,"Phosphatidylethanolamine transport via ABC system (n-C14:1, periplasm)",atp_c + h2o_c + pe141_c --> adp_c + h_c + pe141_p + pi_c,188.37981000000002,171.89028000000002,198.34368999999998,197.90925,174.03176000000002,189.37453,186.68583,175.71567,176.74414,424.51644,338.47042,257.88554,254.40842,265.52614,279.69909
PE160abcpp,"Phosphatidylethanolamine transport via ABC system (n-C16:0, periplasm)",atp_c + h2o_c + pe160_c --> adp_c + h_c + pe160_p + pi_c,188.37981000000002,171.89028000000002,198.34368999999998,197.90925,174.03176000000002,189.37453,186.68583,175.71567,176.74414,424.51644,338.47042,257.88554,254.40842,265.52614,279.69909
PE161abcpp,"Phosphatidylethanolamine transport via ABC system (n-C16:1, periplasm)",atp_c + h2o_c + pe161_c --> adp_c + h_c + pe161_p + pi_c,188.37981000000002,171.89028000000002,198.34368999999998,197.90925,174.03176000000002,189.37453,186.68583,175.71567,176.74414,424.51644,338.47042,257.88554,254.40842,265.52614,279.69909
PE180abcpp,"Phosphatidylethanolamine transport via ABC system (n-C18:0, periplasm)",atp_c + h2o_c + pe180_c --> adp_c + h_c + pe180_p + pi_c,188.37981000000002,171.89028000000002,198.34368999999998,197.90925,174.03176000000002,189.37453,186.68583,175.71567,176.74414,424.51644,338.47042,257.88554,254.40842,265.52614,279.69909
PE181abcpp,"Phosphatidylethanolamine transport via ABC system (n-C18:1, periplasm)",atp_c + h2o_c + pe181_c --> adp_c + h_c + pe181_p + pi_c,188.37981000000002,171.89028000000002,198.34368999999998,197.90925,174.03176000000002,189.37453,186.68583,175.71567,176.74414,424.51644,338.47042,257.88554,254.40842,265.52614,279.69909
PEPCK_re,PEPCK re,gtp_c + oaa_c --> co2_c + gdp_c + pep_c,1248.72934,1186.45685,1305.16765,1518.61584,1286.3216699999998,1578.12109,1242.86488,1335.99399,1176.68112,2223.94225,2601.31163,3038.34043,5189.3424700000005,3291.41985,3422.92919
PERD,Erythronate 4-phosphate (4per) dehydrogenase,4per_c + nad_c <=> h_c + nadh_c + ohpb_c,6.28146,6.10004,5.92071,6.16805,6.244280000000001,7.78251,5.06185,4.06921,5.248480000000001,17.49405,28.78262,61.80424,7.039619999999999,4.7032,5.153969999999999
PFK,Phosphofructokinase,atp_c + f6p_c --> adp_c + fdp_c + h_c,367.9784,366.65569,403.82705,354.55638999999996,312.06707,331.53514,367.10462,353.92835,344.83171,400.51707000000005,302.98651,256.53663,127.69535,158.2728,160.15773000000002
PFK_2,Phosphofructokinase,atp_c + tag6p__D_c --> adp_c + h_c + tagdp__D_c,,,,,,,,,,,,,,,
PFOR,Pyruvate flavodoxin oxidoreductase,coa_c + fldox_c + h_c + pyr_c --> accoa_c + co2_c + fldrd_c,2.43566,2.6143,1.3931,1.48884,2.9384799999999998,1.72944,1.2052,2.95942,1.0906,9.67008,9.0083,5.88612,21.28256,30.059559999999998,21.53898
PG120abcpp,"Phosphatidylglycerol transport via ABC system (n-C12:0, periplasm)",atp_c + h2o_c + pg120_c --> adp_c + h_c + pg120_p + pi_c,188.37981000000002,171.89028000000002,198.34368999999998,197.90925,174.03176000000002,189.37453,186.68583,175.71567,176.74414,424.51644,338.47042,257.88554,254.40842,265.52614,279.69909
PG140abcpp,"Phosphatidylglycerol transport via ABC system (n-C14:0, periplasm)",atp_c + h2o_c + pg140_c --> adp_c + h_c + pg140_p + pi_c,188.37981000000002,171.89028000000002,198.34368999999998,197.90925,174.03176000000002,189.37453,186.68583,175.71567,176.74414,424.51644,338.47042,257.88554,254.40842,265.52614,279.69909
PG141abcpp,"Phosphatidylglycerol transport via ABC system (n-C14:1, periplasm)",atp_c + h2o_c + pg141_c --> adp_c + h_c + pg141_p + pi_c,188.37981000000002,171.89028000000002,198.34368999999998,197.90925,174.03176000000002,189.37453,186.68583,175.71567,176.74414,424.51644,338.47042,257.88554,254.40842,265.52614,279.69909
PG160abcpp,"Phosphatidylglycerol transport via ABC system (n-C16:0, periplasm)",atp_c + h2o_c + pg160_c --> adp_c + h_c + pg160_p + pi_c,188.37981000000002,171.89028000000002,198.34368999999998,197.90925,174.03176000000002,189.37453,186.68583,175.71567,176.74414,424.51644,338.47042,257.88554,254.40842,265.52614,279.69909
PG161abcpp,"Phosphatidylglycerol transport via ABC system (n-C16:1, periplasm)",atp_c + h2o_c + pg161_c --> adp_c + h_c + pg161_p + pi_c,188.37981000000002,171.89028000000002,198.34368999999998,197.90925,174.03176000000002,189.37453,186.68583,175.71567,176.74414,424.51644,338.47042,257.88554,254.40842,265.52614,279.69909
PG180abcpp,"Phosphatidylglycerol transport via ABC system (n-C18:0, periplasm)",atp_c + h2o_c + pg180_c --> adp_c + h_c + pg180_p + pi_c,188.37981000000002,171.89028000000002,198.34368999999998,197.90925,174.03176000000002,189.37453,186.68583,175.71567,176.74414,424.51644,338.47042,257.88554,254.40842,265.52614,279.69909
PG181abcpp,"Phosphatidylglycerol transport via ABC system (n-C18:1, periplasm)",atp_c + h2o_c + pg181_c --> adp_c + h_c + pg181_p + pi_c,188.37981000000002,171.89028000000002,198.34368999999998,197.90925,174.03176000000002,189.37453,186.68583,175.71567,176.74414,424.51644,338.47042,257.88554,254.40842,265.52614,279.69909
PGAMT,Phosphoglucosamine mutase,gam1p_c <=> gam6p_c,,,,,,,,,,,,,,,
PGCD,Phosphoglycerate dehydrogenase,3pg_c + nad_c --> 3php_c + h_c + nadh_c,79.73613,69.93254999999999,73.66056,88.69227,83.89373,92.87133999999999,74.84306000000001,67.88174000000001,71.70645999999999,135.20528000000002,142.92436999999998,210.91923,1188.7127200000002,729.71122,601.01457
PGI,Glucose-6-phosphate isomerase,g6p_c <=> f6p_c,270.55161,242.91212000000002,285.06464,339.77434,333.37109,325.13617999999997,282.25838,282.34734,271.35303999999996,617.7422,701.54889,769.6099,2140.20677,1674.03135,1737.5806100000002
PGK,Phosphoglycerate kinase,3pg_c + atp_c <=> 13dpg_c + adp_c,163.44625,141.82582,130.25556,229.91929,193.13191,212.0303,156.9776,163.97047,154.86413000000002,210.01652,269.04059,265.48843999999997,2359.4171100000003,1193.38508,839.40498
PGL,6-phosphogluconolactonase,6pgl_c + h2o_c --> 6pgc_c + h_c,58.39196999999999,58.16819,49.45532,76.24983,77.06175999999999,75.05803,84.72572,70.56371,73.9558,111.82127,90.30272,70.1429,182.86629,200.9083,153.46526
PGLCNDH,PGLCNDH,6p2dhglcn_c + nadph_c <=> 6pgc_c + 2.0 h_c + nadp_c,3.5253099999999997,5.01074,3.83105,4.36017,3.01195,2.94006,3.73613,3.6992800000000003,2.59016,6.76905,8.349160000000001,16.799960000000002,14.734079999999999,12.4737,13.07724
PGLYCP,Phosphoglycolate phosphatase,2pglyc_c + h2o_c --> glyclt_c + pi_c,50.3158,51.414590000000004,59.72949,47.74919,43.19572,49.46221,45.49639,45.038700000000006,46.21386,172.03949,138.85966,137.34275,249.66077,247.32681000000002,228.62093
PGM,Phosphoglycerate mutase,2pg_c <=> 3pg_c,256.64266,242.25854999999996,261.20767,284.26191,255.64817,269.96679,282.55968,260.15166999999997,260.92425000000003,915.14107,1073.96522,1083.78145,1606.17828,1124.9842399999998,948.4076200000001
PGM_1,Phosphoglycerate mutase,3pg_c <=> 2pg_c,35.82998,31.80733,34.65355,34.13695,37.02491,33.89718,40.37428,36.71533,39.874790000000004,118.3266,101.28845,88.78228,178.11864,190.88845,156.84996
PGMT,Phosphoglucomutase,g1p_c <=> g6p_c,676.0906000000001,666.86457,682.79684,577.35052,556.84284,515.5483700000001,750.4192099999999,641.73212,658.3088899999999,1280.23049,1165.5862300000001,1103.5244599999999,342.64918,398.03359,429.3181
PGMT_B,B phosphoglucomutase,g6p_B_c <=> g1p_B_c,105.82343,111.32563999999999,141.05213999999998,117.83098000000001,122.90212,126.94147,109.19133000000001,118.19191000000001,121.60106,400.25334,342.42529,253.83882999999997,82.51084,99.58508,96.07925
PGP120abcpp,"Phosphatidylglycerophosphate transport via ABC system (n-C12:0, periplasm)",atp_c + h2o_c + pgp120_c --> adp_c + h_c + pgp120_p + pi_c,188.37981000000002,171.89028000000002,198.34368999999998,197.90925,174.03176000000002,189.37453,186.68583,175.71567,176.74414,424.51644,338.47042,257.88554,254.40842,265.52614,279.69909
PGP140abcpp,"Phosphatidylglycerophosphate transport via ABC system (n-C14:0, periplasm)",atp_c + h2o_c + pgp140_c --> adp_c + h_c + pgp140_p + pi_c,188.37981000000002,171.89028000000002,198.34368999999998,197.90925,174.03176000000002,189.37453,186.68583,175.71567,176.74414,424.51644,338.47042,257.88554,254.40842,265.52614,279.69909
PGP141abcpp,"Phosphatidylglycerophosphate transport via ABC system (n-C14:1, periplasm)",atp_c + h2o_c + pgp141_c --> adp_c + h_c + pgp141_p + pi_c,188.37981000000002,171.89028000000002,198.34368999999998,197.90925,174.03176000000002,189.37453,186.68583,175.71567,176.74414,424.51644,338.47042,257.88554,254.40842,265.52614,279.69909
PGP160abcpp,"Phosphatidylglycerophosphate transport via ABC system (n-C16:0, periplasm)",atp_c + h2o_c + pgp160_c --> adp_c + h_c + pgp160_p + pi_c,188.37981000000002,171.89028000000002,198.34368999999998,197.90925,174.03176000000002,189.37453,186.68583,175.71567,176.74414,424.51644,338.47042,257.88554,254.40842,265.52614,279.69909
PGP161abcpp,"Phosphatidylglycerophosphate transport via ABC system (n-C16:1, periplasm)",atp_c + h2o_c + pgp161_c --> adp_c + h_c + pgp161_p + pi_c,188.37981000000002,171.89028000000002,198.34368999999998,197.90925,174.03176000000002,189.37453,186.68583,175.71567,176.74414,424.51644,338.47042,257.88554,254.40842,265.52614,279.69909
PGP180abcpp,"Phosphatidylglycerophosphate transport via ABC system (n-C18:0, periplasm)",atp_c + h2o_c + pgp180_c --> adp_c + h_c + pgp180_p + pi_c,188.37981000000002,171.89028000000002,198.34368999999998,197.90925,174.03176000000002,189.37453,186.68583,175.71567,176.74414,424.51644,338.47042,257.88554,254.40842,265.52614,279.69909
PGP181abcpp,"Phosphatidylglycerophosphate transport via ABC system (n-C18:1, periplasm)",atp_c + h2o_c + pgp181_c --> adp_c + h_c + pgp181_p + pi_c,188.37981000000002,171.89028000000002,198.34368999999998,197.90925,174.03176000000002,189.37453,186.68583,175.71567,176.74414,424.51644,338.47042,257.88554,254.40842,265.52614,279.69909
PGPP120pp,"Phosphatidylglycerol phosphate phosphatase (periplasm, n-C14:0)",h2o_p + pgp120_p --> pg120_p + pi_p,,,,,,,,,,,,,,,
PGPP140pp,"Phosphatidylglycerol phosphate phosphatase (periplasm, n-C14:0)",h2o_p + pgp140_p --> pg140_p + pi_p,,,,,,,,,,,,,,,
PGPP141pp,"Phosphatidylglycerol phosphate phosphatase (periplasm, n-C14:1)",h2o_p + pgp141_p --> pg141_p + pi_p,,,,,,,,,,,,,,,
PGPP160pp,"Phosphatidylglycerol phosphate phosphatase (periplasm, n-C16:0)",h2o_p + pgp160_p --> pg160_p + pi_p,,,,,,,,,,,,,,,
PGPP161pp,"Phosphatidylglycerol phosphate phosphatase (periplasm, n-C16:1)",h2o_p + pgp161_p --> pg161_p + pi_p,,,,,,,,,,,,,,,
PGPP180pp,"Phosphatidylglycerol phosphate phosphatase (periplasm, n-C18:0)",h2o_p + pgp180_p --> pg180_p + pi_p,,,,,,,,,,,,,,,
PGPP181pp,"Phosphatidylglycerol phosphate phosphatase (periplasm, n-C18:1)",h2o_p + pgp181_p --> pg181_p + pi_p,,,,,,,,,,,,,,,
PGSA120,Phosphatidylglycerol synthase (n-C12:0),cdpdddecg_c + glyc3p_c --> cmp_c + h_c + pgp120_c,,,,,,,,,,,,,,,
PGSA140,Phosphatidylglycerol synthase (n-C14:0),cdpdtdecg_c + glyc3p_c --> cmp_c + h_c + pgp140_c,,,,,,,,,,,,,,,
PGSA141,Phosphatidylglycerol synthase (n-C14:1),cdpdtdec7eg_c + glyc3p_c --> cmp_c + h_c + pgp141_c,,,,,,,,,,,,,,,
PGSA160,Phosphatidylglycerol synthase (n-C16:0),cdpdhdecg_c + glyc3p_c --> cmp_c + h_c + pgp160_c,25.12586,22.87514,36.046659999999996,25.842,20.9367,24.55816,28.74407,25.987429999999996,26.10606,75.77825,72.50583,57.51228,118.20005,144.06097,139.15722
PGSA161,Phosphatidylglycerol synthase (n-C16:1),cdpdhdec9eg_c + glyc3p_c --> cmp_c + h_c + pgp161_c,,,,,,,,,,,,,,,
PGSA180,Phosphatidylglycerol synthase (n-C18:0),cdpdodecg_c + glyc3p_c --> cmp_c + h_c + pgp180_c,,,,,,,,,,,,,,,
PGSA181,Phosphatidylglycerol synthase (n-C18:1),cdpdodec11eg_c + glyc3p_c --> cmp_c + h_c + pgp181_c,,,,,,,,,,,,,,,
PHACOAOR,PHACOAOR,h2_c + o2_c + phaccoa_c --> 2dhphaccoa_c,16.21642,11.98221,27.1656,19.035859999999996,13.5905,13.316759999999999,13.07643,10.08052,12.746299999999998,21.625819999999997,20.653170000000003,14.960539999999998,7.858159999999999,11.96248,11.69259
PHAPC100,PHAPC100,R_3hdcoa_c + mclPHAg_c --> C100mclPHA_c + coa_c,0.44868,0.21786,0.34828000000000003,0.42538000000000004,1.02847,0.86472,0.24104,0.46241000000000004,0.13632,0.43955,0.32957,0.24525,0.32742,0.7157,0.3077
PHAPC120,PHAPC120,R_3hddcoa_c + mclPHAg_c --> C120mclPHA_c + coa_c,0.44868,0.21786,0.34828000000000003,0.42538000000000004,1.02847,0.86472,0.24104,0.46241000000000004,0.13632,0.43955,0.32957,0.24525,0.32742,0.7157,0.3077
PHAPC121,PHAPC121,R_3hcddec5ecoa_c + mclPHAg_c --> C121mclPHA_c + coa_c,0.44868,0.21786,0.34828000000000003,0.42538000000000004,1.02847,0.86472,0.24104,0.46241000000000004,0.13632,0.43955,0.32957,0.24525,0.32742,0.7157,0.3077
PHAPC140,PHAPC140,R_3hmrscoa_c + mclPHAg_c --> C140mclPHA_c + coa_c,0.44868,0.21786,0.34828000000000003,0.42538000000000004,1.02847,0.86472,0.24104,0.46241000000000004,0.13632,0.43955,0.32957,0.24525,0.32742,0.7157,0.3077
PHAPC141,PHAPC141,R_3hcmrs7ecoa_c + mclPHAg_c --> C141mclPHA_c + coa_c,0.44868,0.21786,0.34828000000000003,0.42538000000000004,1.02847,0.86472,0.24104,0.46241000000000004,0.13632,0.43955,0.32957,0.24525,0.32742,0.7157,0.3077
PHAPC60,PHAPC60,R_3hhcoa_c + mclPHAg_c --> C60mclPHA_c + coa_c,0.44868,0.21786,0.34828000000000003,0.42538000000000004,1.02847,0.86472,0.24104,0.46241000000000004,0.13632,0.43955,0.32957,0.24525,0.32742,0.7157,0.3077
PHAPC80,PHAPC80,R_3hocoa_c + mclPHAg_c --> C80mclPHA_c + coa_c,0.44868,0.21786,0.34828000000000003,0.42538000000000004,1.02847,0.86472,0.24104,0.46241000000000004,0.13632,0.43955,0.32957,0.24525,0.32742,0.7157,0.3077
PHDCAt,PHDCAt,phdca_e <=> phdca_c,,,,,,,,,,,,,,,
PHDCATA,PHDCATA,ACP_c + phdcacoa_c <=> coa_c + phdcaACP_c,,,,,,,,,,,,,,,
PHEMEabcpp,Protoheme transport via ABC system (periplasm),atp_c + h2o_c + pheme_c --> adp_c + h_c + pheme_p + pi_c,20.31861,16.55724,15.15004,21.80086,23.50788,20.926319999999997,19.28323,22.56559,19.42618,50.10859,43.942930000000004,29.92109,129.16875,159.70421,144.69582
PHEMEtiex,Protoheme transport irreversible out via diffusion (periplasm to extracellular),pheme_p --> pheme_e,,,,,,,,,,,,,,,
PHEt2rpp,L-phenylalanine reversible transport via proton symport (periplasm),h_p + phe__L_p <=> h_c + phe__L_c,18.39571,22.657270000000004,18.1104,23.502390000000002,22.84672,29.05473,17.35491,25.987419999999997,23.92488,17.0545,22.96018,40.46706,38.79974,31.38873,48.693490000000004
PHETA1,Phenylalanine transaminase,akg_c + phe__L_c <=> glu__L_c + phpyr_c,31.215029999999995,24.61801,24.379389999999997,31.797349999999998,35.40874,31.47595,35.31243,29.964150000000004,28.832539999999998,122.54627,108.53903,78.97209000000001,426.14230000000003,414.49477,357.77790999999996
PHTHDLS,PHTHDLS,h_c + prephth_c --> co2_c + phthdl_c,,,,,,,,,,,,,,,
PHTHDLS2,PHTHDLS2,h_c + prepphth_c --> co2_c + pphthdl_c,,,,,,,,,,,,,,,
PHTHS,PHTHS,amet_c + nadph_c + phthdl_c --> ahcys_c + nadp_c + phthiocerol_c,,,,,,,,,,,,,,,
PHTHS2,PHTHS2,amet_c + nadph_c + pphthdl_c --> ahcys_c + nadp_c + pphthiocerol_c,,,,,,,,,,,,,,,
PIabc,Phosphate transport via ABC system,atp_c + h2o_c + pi_e --> adp_c + h_c + 2.0 pi_c,228.24787999999998,255.98362,292.72672000000006,235.02388,215.09707,225.69293,203.07658999999998,222.97393,230.25134,504.69019000000003,568.62152,518.5915,672.69254,554.6705000000001,609.47632
PICH,Phenylitaconyl-CoA hydratase,h2o_c + phitcoa_c <=> hmpscoa_c,7.627489999999999,6.53575,9.57761,6.80612,5.95043,7.26368,6.32731,7.028630000000001,6.3390699999999995,15.560039999999999,30.869909999999997,35.07145,2.94682,2.76057,2.3846700000000003
PIt2r,Phosphate reversible transport via symport,h_e + pi_e <=> h_c + pi_c,619.4292399999999,649.43589,660.33299,380.07935,384.72111,382.89973999999995,597.78035,480.35115,668.8058299999999,30.328879999999998,32.18819,34.8262,30.122999999999998,12.16696,16.23116
PIuabcpp,"Phosphate transport via ABC system (uptake, periplasm)",atp_c + h2o_c + pi_p --> adp_c + h_c + 2.0 pi_c,24.48488,26.57872,24.0311,30.414859999999997,28.062520000000003,28.362940000000002,16.6318,17.57156,16.76786,110.59053999999999,224.76807999999997,200.128,1056.26972,785.7406100000001,640.4001499999999
PLCD,PLCD,h2o_c + ptd1ino160_c --> 12dgr160_c + h_c + mi1p__D_c,73.96744,83.22191,87.93991,80.71635,86.24453000000001,81.62993,92.37876,81.47658,83.49849,776.0677599999999,881.4951900000001,852.9965699999999,186.63166,213.07527000000002,245.77518999999998
PLIPA1E120pp,"Phospholipase A1 (phosphatidylethanolamine, n-C12:0) (periplasm)",h2o_p + pe120_p --> 2agpe120_p + ddca_p + h_p,,,,,,,,,,,,,,,
PLIPA1E140pp,"Phospholipase A1 (phosphatidylethanolamine, n-C14:0) (periplasm)",h2o_p + pe140_p --> 2agpe140_p + h_p + ttdca_p,,,,,,,,,,,,,,,
PLIPA1E141pp,"Phospholipase A1 (phosphatidylethanolamine, n-C14:1) (periplasm)",h2o_p + pe141_p --> 2agpe141_p + h_p + ttdcea_p,,,,,,,,,,,,,,,
PLIPA1E160,PLIPA1E160,h2o_c + pe160_c --> 2agpe160_c + h_c + hdca_c,,,,,,,,,,,,,,,
PLIPA1E161pp,"Phospholipase A1 (phosphatidylethanolamine, n-C16:1) (periplasm)",h2o_p + pe161_p --> 2agpe161_p + h_p + hdcea_p,,,,,,,,,,,,,,,
PLIPA1E180,PLIPA1E180,h2o_c + pe180_c --> 2agpe180_c + h_c + ocdca_c,,,,,,,,,,,,,,,
PLIPA1E180pp,"Phospholipase A1 (phosphatidylethanolamine, n-C18:0) (periplasm)",h2o_p + pe180_p --> 2agpe180_p + h_p + ocdca_p,,,,,,,,,,,,,,,
PLIPA1E181pp,"Phospholipase A1 (phosphatidylethanolamine, n-C18:1) (periplasm)",h2o_p + pe181_p --> 2agpe181_p + h_p + ocdcea_p,,,,,,,,,,,,,,,
PLIPA1G120pp,"Phospholipase A1 (phosphatidylglycerol, n-C12:0) (periplasm)",h2o_p + pg120_p --> 2agpg120_p + ddca_p + h_p,,,,,,,,,,,,,,,
PLIPA1G140pp,"Phospholipase A1 (phosphatidylglycerol, n-C14:0) (periplasm)",h2o_p + pg140_p --> 2agpg140_p + h_p + ttdca_p,,,,,,,,,,,,,,,
PLIPA1G141pp,"Phospholipase A1 (phosphatidylglycerol, n-C14:1) (periplasm)",h2o_p + pg141_p --> 2agpg141_p + h_p + ttdcea_p,,,,,,,,,,,,,,,
PLIPA1G160pp,"Phospholipase A1 (phosphatidylglycerol, n-C16:0) (periplasm)",h2o_p + pg160_p --> 2agpg160_p + h_p + hdca_p,,,,,,,,,,,,,,,
PLIPA1G161pp,"Phospholipase A1 (phosphatidylglycerol, n-C16:1) (periplasm)",h2o_p + pg161_p --> 2agpg161_p + h_p + hdcea_p,,,,,,,,,,,,,,,
PLIPA1G180pp,"Phospholipase A1 (phosphatidylglycerol, n-C18:0) (periplasm)",h2o_p + pg180_p --> 2agpg180_p + h_p + ocdca_p,,,,,,,,,,,,,,,
PLIPA1G181pp,"Phospholipase A1 (phosphatidylglycerol, n-C18:1) (periplasm)",h2o_p + pg181_p --> 2agpg181_p + h_p + ocdcea_p,,,,,,,,,,,,,,,
PLIPA2A160pp,"Phospholipase A2 (phosphatidate, n-C16:0) (periplasm)",h2o_p + pa160_p --> 1hdecg3p_p + h_p + hdca_p,,,,,,,,,,,,,,,
PLIPA2E160pp,"Phospholipase A2 (phosphatidylethanolamine, n-C16:0) (periplasm)",h2o_p + pe160_p --> 1agpe160_p + h_p + hdca_p,,,,,,,,,,,,,,,
PLPS,Pyridoxal-5-phosphate synthase,g3p_c + gln__L_c + r5p_c --> glu__L_c + 3.0 h2o_c + h_c + pi_c + pydx5p_c,125.2447,126.79359,125.72794999999999,133.57013999999998,124.81214,131.78392,120.70101000000001,123.46338,130.66661,141.18314,109.63761000000001,83.87718000000001,442.18607,489.13246999999996,433.16436000000004
PMANM,Phosphomannomutase,man1p_c <=> man6p_c,121.78348,115.02924,104.65721,137.50491,153.46236,133.16748,158.12254000000001,140.7575,133.32493,307.86013,303.86537,274.31762,683.0064,672.7616399999999,683.55504
PMDPHT,Pyrimidine phosphatase,5aprbu_c + h2o_c --> 4r5au_c + pi_c,15.703660000000001,18.08225,18.458679999999998,20.95009,16.82282,19.54276,21.87442,21.548289999999998,22.42531,527.7225599999999,364.61647,416.07495,639.78643,681.3500799999999,890.32929
PMPK,Phosphomethylpyrimidine kinase,4ampm_c + atp_c --> 2mahmp_c + adp_c,886.32735,767.733,879.39915,1525.741,1214.10841,1206.9816,1530.00433,1150.75268,1080.98163,471.28445999999997,468.32178,531.34476,960.49821,966.8136800000001,931.40721
PNTK,Pantothenate kinase,atp_c + pnto__R_c --> 4ppan_c + adp_c + h_c,27.62563,27.01444,18.28454,33.81792,34.30681,33.72423,25.42976,23.767850000000003,24.12936,101.79955000000001,80.52542,58.738550000000004,362.13091000000003,446.70145,461.70351
PNTOt2,Pantothenate reversible transport via proton symport,h_e + pnto__R_e <=> h_c + pnto__R_c,216.7105,129.62575,118.93656000000001,88.69227,35.70259,71.42619,78.03685,78.79460999999999,71.50197,528.2500200000001,1157.3469300000002,1903.05546,176.31781,116.86421999999999,118.00286000000001
PNTOt4,Pantothenate sodium symporter,na1_e + pnto__R_e <=> na1_c + pnto__R_c,86.46627,80.17189,96.82098,113.15177,80.14716999999999,94.08196,85.99118,81.47658,64.34496,6.59324,6.48158,7.35765,6.05734,5.11217,5.5386
POAACR,Peroxyaminoacrylate reductase,nadh_c + poaac_c --> 3amac_c + h2o_c + nad_c,0.7691600000000001,0.0,0.69655,0.74442,0.6611600000000001,0.51883,0.6026,1.29475,1.09059,0.43955,0.769,0.24525,0.0,0.10224,0.3077
POX,Pyruvate oxidase,h2o_c + pyr_c + q8_c --> ac_c + co2_c + q8h2_c,1056.43964,1019.7951699999999,1020.27715,908.61721,879.63539,779.2891599999999,1300.0517300000001,1252.85273,1029.3148099999999,844.7253199999999,821.6229400000001,680.95025,108.70476000000001,113.89916000000001,125.69536000000001
PPA,Inorganic diphosphatase,h2o_c + ppi_c --> h_c + 2.0 pi_c,22.49789,25.48943,32.91216,29.670430000000003,31.58871,29.22766,23.86301,26.54232,23.106920000000002,310.40952,253.11128,219.38051000000002,689.55488,846.2687,781.09588
PPA2,Inorganic triphosphatase,h2o_c + pppi_c --> h_c + pi_c + ppi_c,3.26892,2.6143,5.050009999999999,4.04113,4.8485,5.36129,3.9771699999999996,4.6241,2.7946400000000002,33.93318,40.20778,31.63788,150.94245,133.42765,132.84938
PPAt2pp,H+/Propionate symporter (periplasm),h_p + ppa_p --> h_c + ppa_c,216.7105,129.62575,118.93656000000001,88.69227,35.70259,71.42619,78.03685,78.79460999999999,71.50197,528.2500200000001,1157.3469300000002,1903.05546,176.31781,116.86421999999999,118.00286000000001
PPAt4pp,Na+/Propionate symporter (periplasm),na1_p + ppa_p --> na1_c + ppa_c,216.7105,129.62575,118.93656000000001,88.69227,35.70259,71.42619,78.03685,78.79460999999999,71.50197,528.2500200000001,1157.3469300000002,1903.05546,176.31781,116.86421999999999,118.00286000000001
PPAtex,Propionate transport via diffusion,ppa_e <=> ppa_p,,,,,,,,,,,,,,,
PPBNGS,Porphobilinogen synthase,2.0 5aop_c --> 2.0 h2o_c + h_c + ppbng_c,36.98372,32.89662,30.12595,45.30325,46.28113,51.3646,42.6039,42.26424,43.69186,71.55858,69.10025999999999,56.04075,310.0705,298.95973,248.46757000000002
