Gene ID (RS),Gene ID (LPD),Annotation
PD630_RS00005,"Pd630_LPD00001	",chromosomal replication initiator protein DnaA
PD630_RS31835,"Pd630_LPD06796	",nitrate reductase
PD630_RS42530,none,hypothetical protein
PD630_RS31845,none,allantoinase (pseudogene)
PD630_RS31850,"Pd630_LPD06798	",malate dehydrogenase
PD630_RS31855,"Pd630_LPD06799	",allantoicase
PD630_RS31860,"Pd630_LPD06800	",glycerate kinase
PD630_RS31865,"Pd630_LPD06801	",glyoxylate carboligase
PD630_RS31870,"Pd630_LPD06802	",2-hydroxy-3-oxopropionate reductase
PD630_RS31875,"Pd630_LPD06803	",hydroxypyruvate isomerase
PD630_RS31880,"Pd630_LPD06804	",amidase
PD630_RS31885,"Pd630_LPD06805	",5'-methylthioadenosine phosphorylase
PD630_RS31890,"Pd630_LPD06806	",C4-dicarboxylate transporter DctA
PD630_RS31895,"Pd630_LPD06807	",IclR family transcriptional regulator
PD630_RS31900,"Pd630_LPD06808	",hypothetical protein
PD630_RS31905,"Pd630_LPD06809	",Clp protease ATP-binding protein
PD630_RS31910,"Pd630_LPD06810	",helix-turn-helix transcriptional regulator
PD630_RS31915,"Pd630_LPD06811	",sulfurtransferase FdhD
PD630_RS31920,"Pd630_LPD06812	",hypothetical protein
PD630_RS31925,"Pd630_LPD06813	",Zn-dependent hydrolase
PD630_RS31930,"Pd630_LPD06814	",S-(hydroxymethyl)mycothiol dehydrogenase
PD630_RS31935,"Pd630_LPD06815	",histidine ammonia-lyase
PD630_RS31940,"Pd630_LPD06816	",glycine/betaine ABC transporter ATP-binding protein
PD630_RS31945,"Pd630_LPD06817	",ABC transporter permease
PD630_RS31950,"Pd630_LPD06818	",ABC transporter permease
PD630_RS31955,"Pd630_LPD06819	",glycine/betaine ABC transporter substrate-binding protein
PD630_RS31960,"Pd630_LPD06820	",EstA family serine hydrolase
PD630_RS31965,"Pd630_LPD06821	",arylsulfatase
PD630_RS31970,"Pd630_LPD06822	",ABC transporter ATP-binding protein
PD630_RS31975,"Pd630_LPD06823	",GntR family transcriptional regulator
PD630_RS31980,"Pd630_LPD06824	",deaminase (pseudogene)
PD630_RS31985,"Pd630_LPD06825	",D-Ala-D-Ala carboxypeptidase
PD630_RS31990,"Pd630_LPD06826	",histidine kinase
PD630_RS31995,"Pd630_LPD06827	",hypothetical protein
PD630_RS32000,"Pd630_LPD06828	",daunorubicin resistance protein DrrA family ABC transporter ATP-binding protein
PD630_RS32005,"Pd630_LPD06829	",ABC transporter permease
PD630_RS32010,"Pd630_LPD06830	",cytochrome P450
PD630_RS32015,"Pd630_LPD06831	",haloalkane dehalogenase
PD630_RS32020,"Pd630_LPD06832	",amidohydrolase
PD630_RS32025,"Pd630_LPD06833	",hydrolase
PD630_RS32030,"Pd630_LPD06834	",hypothetical protein
PD630_RS32035,"Pd630_LPD06835	",tyramine oxidase
PD630_RS32040,"Pd630_LPD06836	",amino acid transporter
PD630_RS32045,"Pd630_LPD06837	",betaine-aldehyde dehydrogenase
PD630_RS32050,"Pd630_LPD06840	",amino acid transporter
PD630_RS32055,"Pd630_LPD06841	",IclR family transcriptional regulator
PD630_RS32060,"Pd630_LPD06842	",alkanesulfonate monooxygenase FMNH(2)-dependent
PD630_RS32065,"Pd630_LPD06843	",hydrolase
PD630_RS42535,"Pd630_LPD06844	",hypothetical protein
PD630_RS32080,none,WhiB family transcriptional regulator
PD630_RS32085,"Pd630_LPD06846	",transcriptional regulator
PD630_RS32090,"Pd630_LPD06847	",peptide deformylase
PD630_RS32095,"Pd630_LPD06848	",hypothetical protein
PD630_RS42540,"Pd630_LPD06849	",hypothetical protein
PD630_RS32110,"Pd630_LPD06850	",response regulator
PD630_RS32115,"Pd630_LPD06851	",histidine kinase
PD630_RS32120,"Pd630_LPD06852	",hypothetical protein
PD630_RS32125,"Pd630_LPD06853	",hypothetical protein
PD630_RS32130,"Pd630_LPD06854	",TetR family transcriptional regulator
PD630_RS32135,"Pd630_LPD06855	",acyl-CoA dehydrogenase
PD630_RS32140,"Pd630_LPD06856	",AMP-dependent synthetase
PD630_RS32145,"Pd630_LPD06857	",2-hydroxycyclohexanecarboxyl-CoA dehydrogenase
PD630_RS32150,"Pd630_LPD06858	",dihydroxynaphthoic acid synthetase
PD630_RS32155,"Pd630_LPD06859	",butyryl-CoA dehydrogenase
PD630_RS32160,"Pd630_LPD06860	",hypothetical protein
PD630_RS32165,"Pd630_LPD06861	",3-keto-5-aminohexanoate cleavage protein
PD630_RS32170,"Pd630_LPD06862	",MFS transporter
PD630_RS32175,"Pd630_LPD06863	",alpha/beta hydrolase
PD630_RS32180,"Pd630_LPD06864	",succinyl-CoA--3-ketoacid-CoA transferase
PD630_RS32185,"Pd630_LPD06865	",succinyl-CoA--3-ketoacid-CoA transferase
PD630_RS32190,"Pd630_LPD06866	",carboxymuconolactone decarboxylase
PD630_RS32195,"Pd630_LPD06867	",short-chain dehydrogenase
PD630_RS32200,"Pd630_LPD06869	",AraC family transcriptional regulator
PD630_RS32205,"Pd630_LPD06870	",TetR family transcriptional regulator
PD630_RS32210,"Pd630_LPD06871	",TetR family transcriptional regulator
PD630_RS32215,"Pd630_LPD06872	",hypothetical protein
PD630_RS32220,"Pd630_LPD06873	",nitroreductase
PD630_RS32225,"Pd630_LPD06874	",TetR family transcriptional regulator (pseudogene)
PD630_RS32230,"Pd630_LPD06875	",cytochrome P450
PD630_RS32235,"Pd630_LPD06876	",TetR family transcriptional regulator
PD630_RS32240,"Pd630_LPD06877	",acyl-CoA synthetase
PD630_RS32245,"Pd630_LPD06878	",carbamoyl-phosphate-synthetase
PD630_RS32250,"Pd630_LPD06879	",quinone oxidoreductase
PD630_RS32255,"Pd630_LPD06880	",L-idonate 5-dehydrogenase (pseudogene)
PD630_RS32260,"Pd630_LPD06881	",sugar kinase
PD630_RS32265,"Pd630_LPD06882	",2-keto-3-deoxy-phosphogluconate aldolase
PD630_RS32270,"Pd630_LPD06883	",MFS transporter
PD630_RS32275,"Pd630_LPD06884	",fructuronate reductase
PD630_RS32280,"Pd630_LPD06885	",bifunctional D-altronate/D-mannonate dehydratase
PD630_RS32285,"Pd630_LPD06886	",2-hydroxyacid dehydrogenase
PD630_RS32290,"Pd630_LPD06887	",LacI family transcriptional regulator
PD630_RS32295,"Pd630_LPD06888	",methylene-tetrahydromethanopterin reductase
PD630_RS32300,"Pd630_LPD06889	",nitric oxide synthase oxygenase
PD630_RS32305,"Pd630_LPD06890	",LysR family transcriptional regulator
PD630_RS32310,"Pd630_LPD06891	",benzoylformate decarboxylase
PD630_RS32315,"Pd630_LPD06892	",MFS transporter
PD630_RS32320,"Pd630_LPD06893	",benzaldehyde dehydrogenase
PD630_RS32325,"Pd630_LPD06894	",oxidoreductase
PD630_RS32330,"Pd630_LPD06896	",TetR family transcriptional regulator
PD630_RS32335,"Pd630_LPD06897	",MFS transporter
PD630_RS32340,"Pd630_LPD06898	",MarR family transcriptional regulator
PD630_RS32345,"Pd630_LPD06899	",hypothetical protein
PD630_RS32350,"Pd630_LPD06900	",FAD-binding protein
PD630_RS32355,"Pd630_LPD06901	",oxidoreductase
PD630_RS32360,"Pd630_LPD06902	",LLM class flavin-dependent oxidoreductase
PD630_RS32365,"Pd630_LPD06903	",CdaR family transcriptional regulator
PD630_RS32370,"Pd630_LPD06904	",oxidoreductase
PD630_RS32375,"Pd630_LPD06905	",short-chain dehydrogenase
PD630_RS32380,"Pd630_LPD06906	",phosphotransferase
PD630_RS32385,"Pd630_LPD06907	",NADPH:quinone reductase
PD630_RS32390,"Pd630_LPD06908	",MaoC family dehydratase
PD630_RS32395,"Pd630_LPD06909	",acyl-CoA dehydrogenase
PD630_RS32400,"Pd630_LPD06910	",MFS transporter
PD630_RS32405,"Pd630_LPD06911	",hypothetical protein
PD630_RS32410,"Pd630_LPD06912	",TetR family transcriptional regulator
PD630_RS32415,"Pd630_LPD06913	",hypothetical protein
PD630_RS32420,"Pd630_LPD06914	",dihydroxynaphthoic acid synthetase
PD630_RS32425,"Pd630_LPD06915	",acyl-CoA dehydrogenase
PD630_RS32430,"Pd630_LPD06916	",oxidoreductase
PD630_RS32435,"Pd630_LPD06917	",PaaX family transcriptional regulator
PD630_RS32440,"Pd630_LPD06918	",o-succinylbenzoate--CoA ligase
PD630_RS32445,"Pd630_LPD06919	",oxidoreductase
PD630_RS32450,"Pd630_LPD06920	",MFS transporter
PD630_RS32455,"Pd630_LPD06921	",benzoyl-CoA reductase
PD630_RS32460,"Pd630_LPD06922	",benzoyl-CoA reductase
PD630_RS32465,"Pd630_LPD06923	",benzoyl-CoA reductase
PD630_RS41655,"Pd630_LPD06924	",molybdopterin oxidoreductase dinucleotide-binding protein
PD630_RS32475,"Pd630_LPD06925	",ferredoxin
PD630_RS32480,"Pd630_LPD06926	",phosphotransferase
PD630_RS32485,"Pd630_LPD06927	",enoyl-CoA hydratase
PD630_RS32490,"Pd630_LPD06928	",enoyl-CoA hydratase
PD630_RS32495,"Pd630_LPD06929	",CoA transferase
PD630_RS32500,"Pd630_LPD06930	",enoyl-CoA hydratase
PD630_RS32505,"Pd630_LPD06931	",1%2C4-dihydroxy-2-naphthoyl-CoA synthase
PD630_RS32510,"Pd630_LPD06932	",2-hydroxycyclohexane-1-carbonyl-CoA dehydrogenase
PD630_RS32515,"Pd630_LPD06933	",hydroxymethylglutaryl-CoA lyase
PD630_RS32520,"Pd630_LPD06934	",4-hydroxybutyrate CoA-transferase
PD630_RS32525,"Pd630_LPD06935	",acetyl-CoA acetyltransferase
PD630_RS32530,"Pd630_LPD06936	",3-oxoacyl-ACP reductase
PD630_RS32535,"Pd630_LPD06937	",acyl-CoA dehydrogenase
PD630_RS32540,"Pd630_LPD06938	",acyl-CoA dehydrogenase
PD630_RS32545,"Pd630_LPD06939	",GntR family transcriptional regulator
PD630_RS32550,"Pd630_LPD06940	",AMP-dependent synthetase
PD630_RS32555,"Pd630_LPD06941	",acyl-CoA dehydrogenase
PD630_RS32560,"Pd630_LPD06942	",acyl dehydratase
PD630_RS32565,"Pd630_LPD06943	",acyl dehydratase
PD630_RS32570,"Pd630_LPD06944	",cyclohexanecarboxylate-CoA ligase
PD630_RS32575,"Pd630_LPD06945	",enoyl-CoA hydratase
PD630_RS32580,"Pd630_LPD06946	",LuxR family transcriptional regulator
PD630_RS32585,"Pd630_LPD06947	",helix-turn-helix transcriptional regulator
PD630_RS32590,none,(2Fe-2S) ferredoxin
PD630_RS32595,"Pd630_LPD06950	",cytochrome P450
PD630_RS32600,"Pd630_LPD06951	",hypothetical protein
PD630_RS32605,"Pd630_LPD06952	",ferredoxin reductase
PD630_RS32610,"Pd630_LPD06953	",geraniol dehydrogenase
PD630_RS32615,"Pd630_LPD06954	",aldehyde dehydrogenase
PD630_RS32620,"Pd630_LPD06955	",hypothetical protein
PD630_RS32625,"Pd630_LPD06956	",phenylacetic acid degradation protein PaaX
PD630_RS32630,"Pd630_LPD06957	",CoA transferase
PD630_RS32635,"Pd630_LPD06958	",benzoyl-CoA reductase
PD630_RS32640,"Pd630_LPD06959	",benzoyl-CoA reductase
PD630_RS32645,"Pd630_LPD06960	",benzoyl-CoA reductase
PD630_RS32650,"Pd630_LPD06961	",oxidoreductase
PD630_RS32655,"Pd630_LPD06962	",IS110 family transposase
PD630_RS32660,"Pd630_LPD06963	",AMP-dependent synthetase
PD630_RS32665,"Pd630_LPD06964	",ABC transporter ATP-binding protein
PD630_RS32670,"Pd630_LPD06965	",mannitol ABC transporter permease
PD630_RS32675,"Pd630_LPD06966	",sugar ABC transporter permease
PD630_RS32680,"Pd630_LPD06967	",sugar ABC transporter substrate-binding protein
PD630_RS32685,"Pd630_LPD06968	",MarR family transcriptional regulator
PD630_RS32690,"Pd630_LPD06969	",sorbitol dehydrogenase
PD630_RS32695,"Pd630_LPD06970	",mannitol dehydrogenase
PD630_RS32700,"Pd630_LPD06971	",ribokinase
PD630_RS32705,"Pd630_LPD06972	",xylulokinase
PD630_RS32710,"Pd630_LPD06973	",NADP-dependent oxidoreductase
PD630_RS32715,"Pd630_LPD06974	",membrane protein
PD630_RS32720,"Pd630_LPD06975	",TetR family transcriptional regulator
PD630_RS32725,"Pd630_LPD06976	",Zn-dependent hydrolase
PD630_RS32730,"Pd630_LPD06977	",FMN-binding glutamate synthase family protein
PD630_RS32735,"Pd630_LPD06978	",protein glxC
PD630_RS32740,"Pd630_LPD06979	",glutamine amidotransferase
PD630_RS32745,"Pd630_LPD06980	",type III glutamate--ammonia ligase
PD630_RS32750,"Pd630_LPD06981	",FAD-dependent oxidoreductase
PD630_RS32755,"Pd630_LPD06982	",ethanolamine utilization protein
PD630_RS32760,"Pd630_LPD06983	",hypothetical protein
PD630_RS32765,"Pd630_LPD06984	",ferredoxin
PD630_RS32770,"Pd630_LPD06985	",hypothetical protein (pseudogene)
PD630_RS32775,"Pd630_LPD06986	",hypothetical protein (pseudogene)
PD630_RS32780,"Pd630_LPD06987	",transcriptional regulator
PD630_RS32785,"Pd630_LPD06988	",hypothetical protein
PD630_RS32790,"Pd630_LPD06989	",ammonia channel protein
PD630_RS32795,"Pd630_LPD06990	",transcriptional regulator
PD630_RS32800,"Pd630_LPD06991	",DNA-binding protein
PD630_RS32805,"Pd630_LPD06992	",betaine-aldehyde dehydrogenase
PD630_RS32810,"Pd630_LPD06993	",alcohol dehydrogenase
PD630_RS32815,"Pd630_LPD06994	",QacE family quaternary ammonium compound efflux SMR transporter
PD630_RS32820,"Pd630_LPD06995	",TetR family transcriptional regulator
PD630_RS32825,"Pd630_LPD06996	",tyramine oxidase
PD630_RS32830,"Pd630_LPD06997	",amino acid transporter
PD630_RS32835,"Pd630_LPD06998	",hypothetical protein
PD630_RS32840,"Pd630_LPD06999	",amidohydrolase
PD630_RS32845,"Pd630_LPD07000	",hypothetical protein
PD630_RS32850,"Pd630_LPD07001	",ATPase
PD630_RS32855,"Pd630_LPD07002	",acyl-CoA dehydrogenase
PD630_RS32860,"Pd630_LPD07003	",hypothetical protein
PD630_RS32865,"Pd630_LPD07004	",hypothetical protein
PD630_RS32870,"Pd630_LPD07005	",(2Fe-2S)-binding protein
PD630_RS32875,"Pd630_LPD07006	",hypothetical protein
PD630_RS32880,"Pd630_LPD07007	",3-oxoacyl-ACP reductase
PD630_RS32885,"Pd630_LPD07008	",ferredoxin
PD630_RS32890,"Pd630_LPD07009	",DNA-binding response regulator
PD630_RS32895,"Pd630_LPD07010	",4-hydroxyphenylacetate 3-monooxygenase%2C reductase component
PD630_RS32900,"Pd630_LPD07011	",hypothetical protein
PD630_RS32905,"Pd630_LPD07012	",cation acetate symporter
PD630_RS32910,"Pd630_LPD07013	",indoleacetamide hydrolase
PD630_RS32915,"Pd630_LPD07014	",amidase
PD630_RS32920,"Pd630_LPD07015	",AraC family transcriptional regulator
PD630_RS32925,"Pd630_LPD07016	",phenylacetate-CoA ligase
PD630_RS32930,"Pd630_LPD07017	",phenylacetic acid degradation protein
PD630_RS32935,"Pd630_LPD07018	",phenylacetate-CoA oxygenase subunit PaaJ
PD630_RS32940,"Pd630_LPD07019	",phenylacetate-CoA oxygenase subunit PaaI
PD630_RS32945,"Pd630_LPD07020	",phenylacetate-CoA oxygenase subunit PaaB
PD630_RS32950,"Pd630_LPD07021	",phenylacetate-CoA oxygenase subunit PaaA
PD630_RS32955,"Pd630_LPD07022	",enoyl-CoA hydratase
PD630_RS32960,"Pd630_LPD07023	",3-hydroxyacyl-CoA dehydrogenase
PD630_RS32965,"Pd630_LPD07024	",enoyl-CoA hydratase
PD630_RS32970,"Pd630_LPD07025	",acetyl-CoA acetyltransferase
PD630_RS32975,"Pd630_LPD07026	",bifunctional aldehyde dehydrogenase/enoyl-CoA hydratase
PD630_RS32980,"Pd630_LPD07027	",ethyl tert-butyl ether degradation protein EthD
PD630_RS32985,"Pd630_LPD07028	",phenylacetic acid degradation protein PaaD
PD630_RS32990,"Pd630_LPD07029	",hypothetical protein
PD630_RS32995,"Pd630_LPD07030	",ATPase AAA
PD630_RS33000,"Pd630_LPD07031	",GntR family transcriptional regulator
PD630_RS33005,"Pd630_LPD07032	",butyryl-CoA dehydrogenase
PD630_RS33010,"Pd630_LPD07033	",CoA ester lyase
PD630_RS33015,"Pd630_LPD07034	",hypothetical protein
PD630_RS33020,"Pd630_LPD07035	",dehydratase
PD630_RS42545,none,short-chain dehydrogenase (pseudogene)
PD630_RS33030,"Pd630_LPD07038	",alpha/beta hydrolase
PD630_RS33035,"Pd630_LPD07039	",transferase
PD630_RS33040,"Pd630_LPD07040	",C4-dicarboxylate ABC transporter permease
PD630_RS33045,"Pd630_LPD07041	",hypothetical protein
PD630_RS33050,"Pd630_LPD07042	",hypothetical protein
PD630_RS33055,"Pd630_LPD07043	",IclR family transcriptional regulator
PD630_RS33060,"Pd630_LPD07044	",LacI family transcriptional regulator
PD630_RS33065,"Pd630_LPD07045	",dihydrodipicolinate synthase family protein
PD630_RS33070,"Pd630_LPD07046	",manganese transporter
PD630_RS33075,"Pd630_LPD07047	",hypothetical protein
PD630_RS33080,"Pd630_LPD07048	",hypothetical protein
PD630_RS33085,"Pd630_LPD07049	",ABC transporter permease
PD630_RS33090,"Pd630_LPD07050	",ABC transporter ATP-binding protein
PD630_RS33095,"Pd630_LPD07051	",hypothetical protein
PD630_RS33100,"Pd630_LPD07052	",tautomerase
PD630_RS33105,"Pd630_LPD07053	",hypothetical protein
PD630_RS33110,"Pd630_LPD07054	",aldolase
PD630_RS33115,"Pd630_LPD07055	",hypothetical protein
PD630_RS33120,"Pd630_LPD07056	",LysR family transcriptional regulator
PD630_RS33125,"Pd630_LPD07057	",hypothetical protein
PD630_RS33130,"Pd630_LPD07058	",hypothetical protein
PD630_RS33135,"Pd630_LPD07059	",hypothetical protein
PD630_RS33140,"Pd630_LPD07060	",dimethylmenaquinone methyltransferase
PD630_RS33145,"Pd630_LPD07061	",LysR family transcriptional regulator
PD630_RS33150,"Pd630_LPD07062	",alkene reductase
PD630_RS33155,"Pd630_LPD07063	",alkane 1-monooxygenase
PD630_RS33160,"Pd630_LPD07064	",MFS transporter
PD630_RS33165,"Pd630_LPD07065	",MerR family transcriptional regulator
PD630_RS33170,"Pd630_LPD07066	",hypothetical protein
PD630_RS33175,"Pd630_LPD07067	",alkane 1-monooxygenase
PD630_RS33180,"Pd630_LPD07069	",serine/threonine-protein kinase PknK
PD630_RS33185,"Pd630_LPD07070	",MFS transporter
PD630_RS33190,"Pd630_LPD07071	",2-hydroxypropyl-CoM dehydrogenase
PD630_RS33195,"Pd630_LPD07072	",sugar ABC transporter permease
PD630_RS33200,"Pd630_LPD07073	",ribose ABC transporter permease
PD630_RS33205,"Pd630_LPD07074	",ABC transporter ATP-binding protein
PD630_RS33210,"Pd630_LPD07075	",sugar-binding protein
PD630_RS33215,"Pd630_LPD07076	",hypothetical protein
PD630_RS33220,"Pd630_LPD07077	",alkene reductase
PD630_RS33225,"Pd630_LPD07078	",LuxR family transcriptional regulator
PD630_RS33230,"Pd630_LPD07079	",helix-turn-helix transcriptional regulator
PD630_RS33235,"Pd630_LPD07080	",cupin
PD630_RS33240,"Pd630_LPD07081	",hypothetical protein
PD630_RS33245,"Pd630_LPD07082	",CoA ester lyase (pseudogene)
PD630_RS33250,"Pd630_LPD07083	",CoA ester lyase
PD630_RS33255,"Pd630_LPD07084	",MaoC family dehydratase
PD630_RS33260,"Pd630_LPD07085	",2-keto-4-pentenoate hydratase
PD630_RS33265,"Pd630_LPD07086	",hypothetical protein
PD630_RS33270,"Pd630_LPD07087	",ABC transporter ATP-binding protein
PD630_RS33275,"Pd630_LPD07088	",ABC transporter permease
PD630_RS33280,"Pd630_LPD07089	",SDR family mycofactocin-dependent oxidoreductase
PD630_RS33285,"Pd630_LPD07090	",hypothetical protein
PD630_RS33290,"Pd630_LPD07091	",LLM class F420-dependent oxidoreductase
PD630_RS33295,"Pd630_LPD07092	",hypothetical protein
PD630_RS33300,none,hypothetical protein
PD630_RS33305,"Pd630_LPD07094	",2-hydroxypropyl-CoM dehydrogenase
PD630_RS33310,"Pd630_LPD07095	",MFS transporter
PD630_RS33315,"Pd630_LPD07096	",betaine-aldehyde dehydrogenase
PD630_RS33320,"Pd630_LPD07098	",oxidoreductase
PD630_RS33325,"Pd630_LPD07099	",anti-sigma factor
PD630_RS33330,"Pd630_LPD07100	",acyl-CoA dehydrogenase
PD630_RS33335,"Pd630_LPD07102	",hypothetical protein
PD630_RS33340,"Pd630_LPD07103	",cation acetate symporter
PD630_RS33345,"Pd630_LPD07104	",hypothetical protein
PD630_RS33350,"Pd630_LPD07105	",acyl-CoA thioesterase II
PD630_RS33355,"Pd630_LPD07106	",carbamoyl phosphate synthase
PD630_RS33360,"Pd630_LPD07107	",oxidoreductase
PD630_RS33365,"Pd630_LPD07108	",carboxylase
PD630_RS33370,"Pd630_LPD07109	",oxidoreductase
PD630_RS33375,"Pd630_LPD07110	",WhiB family transcriptional regulator
PD630_RS33380,"Pd630_LPD07111	",SDR family mycofactocin-dependent oxidoreductase
PD630_RS33385,"Pd630_LPD07112	",TetR family transcriptional regulator
PD630_RS33390,"Pd630_LPD07113	",fatty-acid--CoA ligase
PD630_RS33395,"Pd630_LPD07114	",hypothetical protein
PD630_RS33400,"Pd630_LPD07115	",amidohydrolase
PD630_RS33405,"Pd630_LPD07116	",MFS transporter
PD630_RS33410,"Pd630_LPD07117	",transcriptional regulator
PD630_RS33415,"Pd630_LPD07118	",haloalkane dehalogenase
PD630_RS33420,"Pd630_LPD07119	",hypothetical protein
PD630_RS33425,"Pd630_LPD07120	",hypothetical protein
PD630_RS33430,"Pd630_LPD07121	",N5%2CN10-methylene tetrahydromethanopterin reductase
PD630_RS33435,"Pd630_LPD07122	",acyl-CoA dehydrogenase
PD630_RS33440,"Pd630_LPD07123	",membrane protein
PD630_RS33445,"Pd630_LPD07125	",MFS transporter
PD630_RS33450,"Pd630_LPD07126	",GntR family transcriptional regulator
PD630_RS33455,"Pd630_LPD07127	",amine oxidase
PD630_RS33460,"Pd630_LPD07128	",dihydrodipicolinate synthase family protein
PD630_RS33465,"Pd630_LPD07129	",sodium:alanine symporter
PD630_RS33470,"Pd630_LPD07130	",gamma-aminobutyraldehyde dehydrogenase
PD630_RS42550,none,transcriptional regulator (pseudogene)
PD630_RS33475,"Pd630_LPD07131	",hypothetical protein
PD630_RS33480,"Pd630_LPD07132	",hypothetical protein
PD630_RS33485,"Pd630_LPD07133	",hypothetical protein
PD630_RS33490,none,hypothetical protein
PD630_RS42555,none,transcriptional regulator (pseudogene)
PD630_RS41395,"Pd630_LPD07135	",hypothetical protein
PD630_RS42560,none,hypothetical protein
PD630_RS33500,"Pd630_LPD07136	",hypothetical protein
PD630_RS33505,none,NAD(+)--rifampin ADP-ribosyltransferase
PD630_RS42565,none,hypothetical protein
PD630_RS33510,"Pd630_LPD07139	",MFS transporter
PD630_RS33515,"Pd630_LPD07140	",sugar isomerase
PD630_RS33520,"Pd630_LPD07141	",GntR family transcriptional regulator
PD630_RS33525,"Pd630_LPD07142	",MFS transporter
PD630_RS33530,"Pd630_LPD07143	",hypothetical protein
PD630_RS33535,"Pd630_LPD07144	",short-chain dehydrogenase
PD630_RS33540,"Pd630_LPD07145	",dehydrogenase
PD630_RS33545,"Pd630_LPD07146	",dehydrogenase
PD630_RS33550,"Pd630_LPD07147	",IclR family transcriptional regulator
PD630_RS33555,"Pd630_LPD07148	",MFS transporter
PD630_RS33560,"Pd630_LPD07149	",hypothetical protein
PD630_RS33565,"Pd630_LPD07151	",TetR family transcriptional regulator
PD630_RS33570,"Pd630_LPD07152	",short-chain dehydrogenase
PD630_RS33575,"Pd630_LPD07153	",FAD-containing monooxygenase EthA
PD630_RS33580,"Pd630_LPD07154	",hypothetical protein
PD630_RS33585,"Pd630_LPD07155	",chemotaxis protein CheY
PD630_RS33590,"Pd630_LPD07156	",MFS transporter
PD630_RS33595,"Pd630_LPD07157	",amidohydrolase
PD630_RS33600,"Pd630_LPD07158	",hypothetical protein
PD630_RS33605,"Pd630_LPD07159	",DUF5058 domain-containing protein
PD630_RS33610,"Pd630_LPD07161	",dihydrolipoyl dehydrogenase
PD630_RS33615,"Pd630_LPD07162	",lipoyl synthase
PD630_RS33620,"Pd630_LPD07163	",glycine dehydrogenase (aminomethyl-transferring)
PD630_RS33625,"Pd630_LPD07164	",glycine cleavage system protein T
PD630_RS33630,"Pd630_LPD07165	",glycine cleavage system protein H
PD630_RS33635,"Pd630_LPD07166	",serine hydroxymethyltransferase
PD630_RS33640,"Pd630_LPD07167	",L-serine ammonia-lyase
PD630_RS42570,none,hypothetical protein
PD630_RS33645,"Pd630_LPD07169	",acetyl-CoA carboxyltransferase
PD630_RS33650,"Pd630_LPD07170	",CoA transferase
PD630_RS33655,"Pd630_LPD07171	",hypothetical protein
PD630_RS33660,"Pd630_LPD07172	",GntR family transcriptional regulator
PD630_RS33665,"Pd630_LPD07173	",CoA transferase
PD630_RS33670,"Pd630_LPD07174	",acyl-CoA dehydrogenase
PD630_RS33675,"Pd630_LPD07175	",MFS transporter
PD630_RS33680,"Pd630_LPD07176	",LysR family transcriptional regulator
PD630_RS33685,"Pd630_LPD07177	",agmatinase (pseudogene)
PD630_RS33690,"Pd630_LPD07178	",PIN domain-containing protein
PD630_RS33695,"Pd630_LPD07179	",excisionase
PD630_RS33700,"Pd630_LPD07180	",hypothetical protein
PD630_RS33705,"Pd630_LPD07181	",citrate lyase subunit beta
PD630_RS33710,"Pd630_LPD07182	",aspartate ammonia-lyase
PD630_RS33715,"Pd630_LPD07183	",C4-dicarboxylate transporter
PD630_RS33720,"Pd630_LPD07184	",GntR family transcriptional regulator
PD630_RS33725,"Pd630_LPD07185	",cytochrome P450
PD630_RS33730,"Pd630_LPD07186	",ferredoxin
PD630_RS33735,"Pd630_LPD07188	",IclR family transcriptional regulator
PD630_RS33740,"Pd630_LPD07189	",hypothetical protein
PD630_RS33745,"Pd630_LPD07190	",tetronasin ABC transporter ATP-binding protein
PD630_RS33750,"Pd630_LPD07191	",TetR family transcriptional regulator
PD630_RS33755,"Pd630_LPD07192	",hypothetical protein
PD630_RS33760,"Pd630_LPD07193	",hypothetical protein
PD630_RS33765,"Pd630_LPD07194	",hypothetical protein
PD630_RS42575,none,hypothetical protein
PD630_RS33770,"Pd630_LPD07197	",hypothetical protein
PD630_RS33775,"Pd630_LPD07198	",polyketide cyclase
PD630_RS33780,"Pd630_LPD07200	",hypothetical protein
PD630_RS33785,"Pd630_LPD07201	",PrsW family intramembrane metalloprotease
PD630_RS33790,"Pd630_LPD07202	",hypothetical protein
PD630_RS33795,"Pd630_LPD07203	",wax ester/triacylglycerol synthase family O-acyltransferase
PD630_RS33800,"Pd630_LPD07204	",carboxylate--amine ligase
PD630_RS33805,"Pd630_LPD07205	",MFS transporter
PD630_RS33810,"Pd630_LPD07206	",hypothetical protein
PD630_RS33815,"Pd630_LPD07207	",branched chain amino acid aminotransferase
PD630_RS33820,"Pd630_LPD07208	",hypothetical protein
PD630_RS33825,"Pd630_LPD07209	",carboxylate--amine ligase
PD630_RS33830,"Pd630_LPD07210	",hydroxyacid dehydrogenase
PD630_RS33835,"Pd630_LPD07211	",L-alanine-DL-glutamate epimerase
PD630_RS33840,"Pd630_LPD07212	",lysine 2%2C3-aminomutase
PD630_RS33845,"Pd630_LPD07213	",hypothetical protein
PD630_RS33850,"Pd630_LPD07214	",hypothetical protein
PD630_RS33855,"Pd630_LPD07215	",MFS transporter
PD630_RS33860,"Pd630_LPD07216	",glycosyl hydrolase
PD630_RS33865,"Pd630_LPD07217	",TetR family transcriptional regulator
PD630_RS33870,"Pd630_LPD07218	",hypothetical protein
PD630_RS33875,"Pd630_LPD07219	",MFS transporter
